PARALLEL_TIME	SINGLEP_TIME	SPEED_UP	TOTAL_PROCESSES	SQUARE DIM	GRID_COMM_DIMS	TOT_NUMBERS	TOT_ITERATIONS
0,0113266	0,260945	23,0382	4	128	2x2	16384	10
0,00992589	0,253798	25,5693	4	128	2x2	16384	10
0,0101963	0,251235	24,6398	4	128	2x2	16384	10
0,00972813	0,192147	19,7517	4	128	2x2	16384	10
0	1,40191e-05	inf	4	4	2x2	16	10
0,000253226	1,69754e-05	0,0670366	4	4	2x2	16	10
0,000252764	1,20163e-05	0,0475396	4	4	2x2	16	10
0,000251642	1,20164e-05	0,047752	4	4	2x2	16	10
0,000277667	1,29938e-05	0,0467963	4	4	2x2	16	10
0,000251419	1,59979e-05	0,0636304	4	4	2x2	16	10
0,000263015	1,49728e-05	0,0569276	4	4	2x2	16	10
0,000271639	1,39715e-05	0,0514341	4	4	2x2	16	10
0,00024934	1,50204e-05	0,0602406	4	4	2x2	16	10
0,000277565	1,40191e-05	0,0505074	4	4	2x2	16	10
0,000304221	6,7973e-05	0,223433	4	8	2x2	64	10
